,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
0,A. Jayson Adair,Adair,a-jayson-adair,-12.191,52.0,damaged cars,Automotive,M,United States,1376.511,"['damaged cars', ' Self Made']","damaged cars, Self Made","Dallas, Texas",United States,Married,2,,,,True
1,Abhay Soi,Soi,abhay-soi,31.453,48.0,healthcare,Healthcare,M,India,1078.053,"['healthcare', ' Self Made']","healthcare, Self Made","Mumbai, India",India,Married,2,"Master of Business Administration, European University; Bachelor of Arts/Economics, St Stephen's College (India)",,,True
2,Adam Foroughi,Foroughi,adam-foroughi,-147.507,41.0,mobile games,Media & Entertainment,M,United States,2536.112,"['mobile games', ' Self Made']","mobile games, Self Made","Truckee, California",United States,Married,,,,,True
3,Adam Neumann,Neumann,adam-neumann,-19.834,42.0,WeWork ,Real Estate,M,Israel,1498.747,"['WeWork', ' Self Made']","WeWork, Self Made","New York, New York",Israel,Married,5,City University of New York Baruch,,,True
4,Alan Miller & family,Miller,alan-miller-1,-5.252,84.0,healthcare services,Healthcare,M,United States,1260.555,"['healthcare services', ' Self Made']","healthcare services, Self Made","Lower Merion, Pennsylvania",United States,Married,3,"Bachelor of Arts/Economics, College of William & Mary; Master of Business Administration, The Wharton School of the University of Pennsylvania",,,True
5,Alan Rydge,Rydge,alan-rydge,-11.143,69.0,entertainment,Media & Entertainment,M,Australia,1091.347,"['entertainment', ' Self Made']","entertainment, Self Made","Sydney, Australia",Australia,Married,,,,,True
6,Albert Avdolyan,Avdolyan,albert-avdolyan,2.094,51.0,"oil, mining",Energy,M,Russia,1096.222,"['oil', ' mining', ' Self Made']","oil, mining, Self Made","Moscow, Russia",Russia,Married,4,"Master of Laws, Irkutsk State University",,,True
7,Alberto Bombassei,Bombassei,alberto-bombassei,-21.611,81.0,automotive brakes,Automotive,M,Italy,2692.642,['automotive brakes'],automotive brakes,"Bergamo, Italy",Italy,Married,2,,,,False
8,Alberto Prada,Prada,alberto-prada,-23.644,67.0,luxury goods,Fashion & Retail,M,Italy,2251.58,['luxury goods'],luxury goods,"Milan, Italy",Italy,,,,,,False
9,Alex Beard,Beard,alex-beard,-5.815,54.0,"mining, commodities",Metals & Mining,M,United Kingdom,1803.269,"['mining', ' commodities', ' Self Made']","mining, commodities, Self Made","London, United Kingdom",United Kingdom,Married,,"Master of Science, Oxford University",,,True
10,Alex Birkenstock,Birkenstock,alex-birkenstock,0.0,53.0,shoes,Fashion & Retail,M,Germany,1637.579,['shoes'],shoes,,Germany,,,,,,False
11,Alex Shevchenko,Shevchenko,alex-shevchenko,0.0,41.0,software,Technology,M,Ukraine,4000.0,"['software', ' Self Made']","software, Self Made",Canada,Ukraine,,,"Master of Business Administration, University of Toronto",,,True
12,Alexander Knauf,Knauf,alexander-knauf,0.0,47.0,building materials,Manufacturing,M,Germany,1109.146,['building materials'],building materials,,Germany,,,,,,False
13,Alexander Lutsenko & family,Lutsenko,alexander-lutsenko,0.0,59.0,agribusiness,Food & Beverage,M,Russia,1122.041,"['agribusiness', ' Self Made']","agribusiness, Self Made",Kaliningrad,Russia,Married,2,,,,True
14,Alexander Samwer,Samwer,alexander-samwer,3.317,46.0,tech investments,Technology,M,Germany,1243.139,"['tech investments', ' Self Made']","tech investments, Self Made","Munich, Germany",Germany,Married,1,"Master of Business Administration, Harvard Business School; Master of Arts, Oxford University",,,True
15,Alexander Tedja,Tedja,alexander-tedja,-13.828,76.0,real estate,Real Estate,M,Indonesia,1126.939,"['real estate', ' Self Made']","real estate, Self Made","Jakarta, Indonesia",Indonesia,Married,4,,,,True
16,Alexis Lê-Quôc,Lê-Quôc,alexis-le-quoc,-144.609,47.0,cloud computing,Technology,M,United States,3658.029,"['cloud computing', ' Self Made']","cloud computing, Self Made","New York, New York",United States,Married,1,,8,,True
17,Alfred Eckert,Eckert,alfred-eckert,0.0,,,,,United States,1046.192,,,,,,,,,,False
18,Alfred West Jr,West,alfred-west-jr,-15.87,79.0,money management,Finance & Investments,M,United States,1394.489,"['money management', ' Self Made']","money management, Self Made","Paoli, Pennsylvania",United States,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",,,True
19,Ali Erdemoglu,Erdemoglu,ali-erdemoglu,44.529,62.0,carpet,Manufacturing,M,Turkey,1552.545,"['carpet', ' Self Made']","carpet, Self Made","Istanbul, Turkey",Turkey,Married,3,,,,True
20,Ali Ghodsi,Ghodsi,ali-ghodsi,0.0,43.0,data analytics,Technology,M,Sweden,1800.0,"['data analytics', ' Self Made']","data analytics, Self Made","San Francisco, California",Sweden,Married,,"Ph.D, KTH Royal Institute of Technology; Master of Business Administration, Mid Sweden University; Master of Science in Engineering, Mid Sweden University",,,True
21,Aloke Lohia,Lohia,aloke-lohia,0.0,63.0,petrochemicals,Manufacturing,M,India,2193.786,['petrochemicals'],petrochemicals,"Bangkok, Thailand",India,Married,3,,,,False
22,Amnon Shashua,Shashua,amnon-shashua,0.0,61.0,automotive technology,Automotive,M,Israel,1380.0,"['automotive technology', ' Self Made']","automotive technology, Self Made","Kfar Shmaryahu, Israel",Israel,,,,,,True
23,An Shu,An,an-shu,-13.671,,commercial services,,M,United States,1217.261,['commercial services'],commercial services,"Suzhou, China",United States,,,,,,False
24,Analjit Singh,Singh,analjit-singh,-0.828,67.0,healthcare,Healthcare,M,India,999.84,['healthcare'],healthcare,"Delhi, India",India,Married,3,"Bachelor of Arts/Science, Delhi University; Master of Business Administration, Boston University",,,False
25,Anand Deshpande,Deshpande,anand-deshpande,15.464,59.0,technology,Technology,M,India,1330.632,"['technology', ' Self Made']","technology, Self Made","Pune, India",India,Married,2,"Bachelor of Technology, Indian Institute of Technology (IIT) Kharagpur, India; Ph.D, Indiana University - Bloomington",,,True
26,Anant Asavabhokin,Asavabhokin,anant-asavabhokin,10.566,71.0,real estate,Real Estate,M,Thailand,1125.349,"['real estate', ' Self Made']","real estate, Self Made","Bangkok, Thailand",Thailand,Married,3,,,,True
27,André Kasprzak,Kasprzak,andre-kasprzak,0.0,35.0,shoes,Fashion & Retail,M,Denmark,1322.891,['shoes'],shoes,Denmark,Denmark,,,,,,False
28,Andrea Della Valle,Della Valle,andrea-della-valle,0.71,56.0,shoes,Fashion & Retail,M,Italy,1016.819,['shoes'],shoes,"Casette D'ete, Italy",Italy,Married,3,,,,False
29,Andrei Komarov,Komarov,andrei-komarov,0.0,55.0,manufacturing,Manufacturing,M,Russia,1367.113,"['manufacturing', ' Self Made']","manufacturing, Self Made","Moscow, Russia",Russia,Married,6,"Bachelor of Arts/Science, Moscow Institute of Chemical Engineering",,,True
30,Andrei Molchanov,Molchanov,andrei-molchanov,0.0,50.0,construction materials,Construction & Engineering,M,Russia,1102.072,"['construction materials', ' Self Made']","construction materials, Self Made","Moscow, Russia",Russia,Married,6,"Masters of Public Administration, Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",,,True
31,Andrew Brode,Brode,andrew-brode,4.527,81.0,"publishing, investments",Finance & Investments,M,United Kingdom,1026.949,"['publishing', ' investments']","publishing, investments",,United Kingdom,Married,2,,,,False
32,Andrey Blokh,Blokh,andrey-blokh,-20.088,57.0,cannabis,Manufacturing,M,Russia,1181.145,"['cannabis', ' Self Made']","cannabis, Self Made","Moscow, Russia",Russia,,3,,,,True
33,Andy Fang,Fang,andy-fang,-53.668,29.0,food delivery app,Technology,M,United States,2172.403,"['food delivery app', ' Self Made']","food delivery app, Self Made","MONTE VISTA, California",,,,"Bachelor of Arts/Science, Stanford University",,,True
34,Anna Kasprzak,Kasprzak,anna-kasprzak,0.0,32.0,shoes,Fashion & Retail,F,Denmark,1322.891,['shoes'],shoes,"Haderslev, Denmark",Denmark,In Relationship,1,,,,False
35,Anne Werninghaus,Werninghaus,anne-werninghaus,14.394,35.0,industrial machinery,Manufacturing,F,Brazil,1146.493,['industrial machinery'],industrial machinery,"Joinville, Brazil",Brazil,Married,2,,,,False
36,Anthony Casalena,Casalena,anthony-casalena,-78.569,39.0,,Technology,M,United States,1577.235,,,"Monkton, Maryland",United States,Single,,,,,False
37,Anthony Eisen,Eisen,anthony-eisen,-46.322,50.0,fintech,Finance & Investments,M,Australia,1442.591,"['fintech', ' Self Made']","fintech, Self Made","Melbourne, Australia",Australia,,,"Bachelor of Commerce, University of New South Wales",,,True
38,Anton Rabie,Rabie,anton-rabie,-6.814,49.0,toys,Manufacturing,M,Canada,1099.259,"['toys', ' Self Made']","toys, Self Made","Toronto, Canada",Canada,,,"Bachelor of Arts/Science, Western University",,,True
39,Antonio Marcegaglia,Marcegaglia,antonio-marcegaglia,0.0,57.0,steel,Metals & Mining,M,Italy,1292.033,['steel'],steel,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",,,False
40,Anu Aga,Aga,anu-aga,68.175,79.0,engineering,Construction & Engineering,F,India,1751.972,['engineering'],engineering,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Bombay University",,,False
41,Anurang Jain,Jain,anurang-jain-1,19.194,59.0,auto parts,Manufacturing,M,India,1973.934,"['auto parts', ' Self Made']","auto parts, Self Made","Aurangabad, India",India,Married,2,,,,True
42,Apoorva Mehta,Mehta,apoorva-mehta,0.0,35.0,grocery delivery service,Technology,M,Canada,3500.0,"['grocery delivery service', ' Self Made']","grocery delivery service, Self Made","San Francisco, California",,,,"Bachelor of Arts/Science, University of Waterloo",,,True
43,Art Levinson,Levinson,art-levinson,-5.166,,"Genentech, Apple",,M,United States,1622.952,"['Genentech', ' Apple', ' Self Made']","Genentech, Apple, Self Made",,United States,,,,,,True
44,Artem Khachatryan,Khachatryan,artem-khachatryan,0.0,46.0,retail,Fashion & Retail,M,Russia,3100.0,"['retail', ' Self Made']","retail, Self Made","Moscow, Russia",Russia,,,"Master of Science, Moscow State Mining University",,,True
45,Arun Bharat Ram,Bharat Ram,arun-bharat-ram,13.155,81.0,chemicals,Manufacturing,M,India,3208.876,['chemicals'],chemicals,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan",,,False
46,Arvind Lal,Lal,arvind-lal,-11.925,72.0,medical diagnostics,Healthcare,M,India,2214.728,['medical diagnostics'],medical diagnostics,"Delhi, India",India,Married,2,,,,False
47,Ashok Kajaria,Kajaria,ashok-kajaria,6.014,74.0,tiles,Manufacturing,M,India,1198.09,"['tiles', ' Self Made']","tiles, Self Made","Delhi, India",India,Married,2,"Bachelor of Science in Engineering, UCLA",,,True
48,August Troendle,Troendle,august-troendle,-54.809,65.0,pharmaceutical services,Healthcare,M,United States,1837.924,"['pharmaceutical services', ' Self Made']","pharmaceutical services, Self Made","Cincinnati, Ohio",United States,,,"Medical Doctor, University of Maryland",,,True
49,Austin Russell,Russell,austin-russell,34.063,26.0,sensors,Automotive,M,United States,1612.817,"['sensors', ' Self Made']","sensors, Self Made","Orlando, Florida",,,,"Drop Out, Stanford University",8,,True
50,Bai Baokun,Bai,bai-baokun,119.169,,hardware,Manufacturing,M,China,3450.547,"['hardware', ' Self Made']","hardware, Self Made","Dongguan, China",China,,,,,,True
51,Bai Houshan,Bai,bai-houshan,-40.662,57.0,lithium battery,Energy,M,China,2441.497,"['lithium battery', ' Self Made']","lithium battery, Self Made","Ningbo, China",China,,,,,,True
52,Baiju Bhatt,Bhatt,baiju-bhatt,-119.189,36.0,stock trading app,Finance & Investments,M,United States,1478.973,"['stock trading app', ' Self Made']","stock trading app, Self Made","Palo Alto, California",United States,Married,1,"Bachelor of Science, Stanford University",8,,True
53,Balkrishan Goenka,Goenka,balkrishan-goenka,15.065,55.0,textiles,Manufacturing,M,India,2064.847,"['textiles', ' Self Made']","textiles, Self Made","Mumbai, India",India,Married,2,,,,True
54,Bancha Ongkosit,Ongkosit,bancha-ongkosit,12.25,70.0,electronics,Manufacturing,M,Thailand,1160.6,"['electronics', ' Self Made']","electronics, Self Made","Bangkok, Thailand",Thailand,Married,3,,,,True
55,Bang Si-hyuk,Bang,bang-si-hyuk,122.51,49.0,entertainment ,Media & Entertainment,M,South Korea,3755.203,"['entertainment', ' Self Made']","entertainment, Self Made","Seoul, South Korea",South Korea,Single,,,,,True
56,Barbara Benetton,Benetton,barbara-benetton,7.965,52.0,"fashion retail, investments",Fashion & Retail,F,Italy,1613.715,"['fashion retail', ' investments']","fashion retail, investments","Campodoro, Italy",Italy,,,,,,False
57,Barry Silbert,Silbert,barry-silbert,0.0,45.0,cryptocurrency,Finance & Investments,M,United States,1922.0,"['cryptocurrency', ' Self Made']","cryptocurrency, Self Made","Rye, New York",United States,,,,,,True
58,Beatriz Davila de Santo Domingo,Davila de Santo Domingo,beatriz-davila-de-santo-domingo,-19.36,82.0,beer,Food & Beverage,F,Colombia,3694.384,['beer'],beer,Bermuda,Colombia,Widowed,2,,,,False
59,Ben Silbermann,Silbermann,ben-silbermann,-96.033,39.0,social media,Technology,M,United States,2293.195,"['social media', ' Self Made']","social media, Self Made","San Francisco, California",,,2,"Bachelor of Arts/Science, Yale University",8,,True
60,Benjamin Otto,Otto,benjamin-otto,0.0,,retail,Fashion & Retail,M,Germany,2760.12,['retail'],retail,"Hamburg, Germany",Germany,,,,,,False
61,Benoit Dageville,Dageville,benoit-dageville,-71.429,55.0,software,Technology,M,United States,2878.682,"['software', ' Self Made']","software, Self Made","San Carlos, California",United States,Married,2,"Bachelor of Science, Université de Paris VI; Master of Science, Université de Paris VI; Ph.D, Université de Paris VI",,,True
62,Bent Jensen,Jensen,bent-jensen,0.0,69.0,electric linear systems,Manufacturing,M,Denmark,1025.608,['electric linear systems'],electric linear systems,"Nordborg, Denmark",Denmark,,,"Bachelor of Arts/Science, University of Southern Denmark",,,False
63,Bernd Freier,Freier,bernd-freier,0.0,64.0,fashion retail,Fashion & Retail,M,Germany,1509.604,"['fashion retail', ' Self Made']","fashion retail, Self Made","Rottendorf, Germany",Germany,Married,2,,,,True
64,Bianca Rinehart,Rinehart,bianca-rinehart,0.0,44.0,mining,Metals & Mining,F,Australia,1620.767,['mining'],mining,"Brisbane, Australia",Australia,Married,2,,,,False
65,Bill and Jean Adderley & family,Adderley,bill-and-jean-adderley,15.975,73.0,home furnishings,Fashion & Retail,M,United Kingdom,2349.39,"['home furnishings', ' Self Made']","home furnishings, Self Made","Leicester, United Kingdom",United Kingdom,Married,2,,,,True
66,Bill Malhotra,Malhotra,bill-malhotra,0.0,72.0,real estate,Real Estate,M,Canada,1163.766,"['real estate', ' Self Made']","real estate, Self Made","Ottawa, Canada",Canada,Married,2,"Bachelor of Engineering, Birla Institute of Technology and Science (BITS) - Pilani",,,True
67,Blair Hull,Hull,blair-hull,-2.239,,,,M,United States,1169.889,,,,United States,,,,,,False
68,Bob Muglia,Muglia,bob-muglia,-36.217,62.0,software,Technology,M,United States,1799.985,"['software', ' Self Made']","software, Self Made","Mercer Island, Washington",United States,Married,1,"Bachelor of Science, University of Michigan",,,True
69,Boris Jordan,Jordan,boris-jordan,-24.159,55.0,cannabis,Manufacturing,M,United States,1512.028,"['cannabis', ' Self Made']","cannabis, Self Made","New York, New York",United States,Married,5,,,,True
70,Bruce Cheng,Cheng,bruce-cheng,76.562,85.0,electronics,Technology,M,Taiwan,2193.408,"['electronics', ' Self Made']","electronics, Self Made","Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Cheng Kung University",,,True
71,Bruce Mathieson,Mathieson,bruce-mathieson,1.341,77.0,hotels,Food & Beverage,M,Australia,1038.583,"['hotels', ' Self Made']","hotels, Self Made","Gold Coast, Australia",Australia,Married,3,,,,True
72,Byron Trott,Trott,byron-trott,-8.58,63.0,,Finance & Investments,,United States,1760.112,,,"Winnetka, Illinois",United States,Married,,,9,,False
73,Cai Hao & family,Cai,cai-hao,-28.356,50.0,solar energy,Manufacturing,M,China,1859.966,"['solar energy', ' Self Made']","solar energy, Self Made","Kunshan, China",China,Married,,,,,True
74,Cai Mingtong,Cai,cai-mingtong,-28.031,69.0,electronic components,Technology,M,China,2438.303,"['electronic components', ' Self Made']","electronic components, Self Made","Quanzhou, China",China,Married,,,,,True
75,Cameron Winklevoss,Winklevoss,cameron-winklevoss,0.0,40.0,cryptocurrency,Finance & Investments,M,United States,4956.0,"['cryptocurrency', ' Self Made']","cryptocurrency, Self Made","New York, New York",United States,,,"Bachelor of Arts/Economics, Harvard University",7,1,True
76,Candido Pinheiro Koren de Lima Junior,Pinheiro Koren de Lima Junior,candido-pinheiro-koren-de-lima-junior,-12.824,51.0,"hospitals, health insurance",Healthcare,M,Brazil,1413.634,"['hospitals', ' health insurance']","hospitals, health insurance","Fortaleza, Brazil",Brazil,,,,,,False
77,Cao Jianwei,Cao,cao-jianwei,74.947,43.0,semiconductors,Manufacturing,M,China,2365.579,"['semiconductors', ' Self Made']","semiconductors, Self Made","Shangyu, China",China,,,,,,True
78,Cao Kejian,Cao,cao-kejian,21.032,59.0,air compressors,Manufacturing,M,China,1219.738,"['air compressors', ' Self Made']","air compressors, Self Made","Quzhou, China",China,Married,1,,,,True
79,Cao Renxian,Cao,cao-renxian,-43.097,53.0,photovoltaic equipment ,Energy,M,China,10879.003,"['photovoltaic equipment', ' Self Made']","photovoltaic equipment, Self Made","Hefei, China",China,Married,,,,,True
80,Cao Xiaochun,Cao,cao-xiaochun,32.607,52.0,pharmaceuticals,Healthcare,F,China,1346.992,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Hangzhou, China",China,,,,,,True
81,Cargill MacMillan III,MacMillan,cargill-macmillan-iii,0.0,61.0,Cargill,Food & Beverage,M,United States,1458.311,['Cargill'],Cargill,"Boulder, Colorado",United States,,2,,,,False
82,Carl DeSantis,DeSantis,carl-desantis,-104.435,82.0,energy drink,Food & Beverage,M,United States,1514.264,"['energy drink', ' Self Made']","energy drink, Self Made","Delray Beach, Florida",United States,,,,,,True
83,Carl Lindner III,Lindner III,carl-lindner-iii,-3.912,,,,M,United States,1057.825,,,,United States,,,,,,False
84,Carmen Daurella Aguilera,Daurella Aguilera,carmen-daurella-aguilera,-13.485,,Coca-Cola bottler,Food & Beverage,F,Spain,1031.175,['Coca-Cola bottler'],Coca-Cola bottler,"Barcelona, Spain",Spain,Separated,,,,,False
85,Carsten Koerl,Koerl,carsten-koerl,0.938,57.0,sports data,Sports,M,Germany,1691.214,"['sports data', ' Self Made']","sports data, Self Made",Switzerland,Germany,Divorced,3,"Master of Science, University for Applied Sciences in Konstanz",,,True
86,Carsten Maschmeyer,Maschmeyer,carsten-maschmeyer,0.0,62.0,finance and investments,Finance & Investments,M,Germany,1171.893,"['finance and investments', ' Self Made']","finance and investments, Self Made","Munich, Germany",Germany,Married,2,,,,True
87,Catherine Phillips,Phillips,catherine-phillips,-49.185,,investments,Finance & Investments,F,Canada,2916.698,"['investments', ' Self Made']","investments, Self Made","Toronto, Canada",Canada,Married,,,,,True
88,Chang Jing,Chang,chang-jing-1,-31.634,39.0,technology ,Technology,M,China,1952.16,"['technology', ' Self Made']","technology, Self Made","Beijing, China",China,,,,,,True
89,Charles Dunstone,Dunstone,charles-dunstone,-0.218,57.0,mobile phones,Telecom,M,United Kingdom,1091.224,"['mobile phones', ' Self Made']","mobile phones, Self Made","London, United Kingdom",United Kingdom,Married,,,,,True
90,Chatchai Kaewbootta,Kaewbootta,chatchai-kaewbootta,4.684,70.0,auto loans,Finance & Investments,M,Thailand,1264.556,"['auto loans', ' Self Made']","auto loans, Self Made","Bangkok, Thailand",Thailand,Married,2,,,,True
91,Chen Baohua,Chen,chen-baohua,-1.59,59.0,pharmaceutical,Healthcare,M,China,1141.542,"['pharmaceutical', ' Self Made']","pharmaceutical, Self Made","Linhai, China",China,,,"Bachelor of Science, Zhejiang University of Technology",,,True
92,Chen Gang,Chen,chen-gang,-50.938,53.0,solar energy,Energy,M,China,2515.907,"['solar energy', ' Self Made']","solar energy, Self Made","Guangzhou, China",China,,,,,,True
93,Chen Jiancheng,Chen,chen-jiancheng,-95.967,62.0,manufacturing,Manufacturing,M,China,1841.802,"['manufacturing', ' Self Made']","manufacturing, Self Made","Shangyu, China",China,Married,,"Master of Arts, Zhejiang University",,,True
94,Chen Kaichen,Chen,chen-kaichen,0.444,,household chemicals,Manufacturing,M,China,1783.081,"['household chemicals', ' Self Made']","household chemicals, Self Made","Guangzhou, China",China,,,,,,True
95,Chen Shiliang,Chen,chen-shiliang,6.339,58.0,polyester,Manufacturing,M,China,1611.913,"['polyester', ' Self Made']","polyester, Self Made","Tongxiang, China",China,Married,,,,,True
96,Chen Tianqiao,Chen,chen-tianqiao,-33.936,48.0,online games,Technology,M,China,1786.251,"['online games', ' Self Made']","online games, Self Made","Atherton, California",China,Married,2,"Bachelor of Arts/Science, Fudan University",,,True
97,Chen Tianshi,Chen,chen-tianshi,75.227,36.0,semiconductors,Technology,M,China,1908.645,"['semiconductors', ' Self Made']","semiconductors, Self Made","Beijing, China",China,,,,,,True
98,Chen Xiaxin & family,Chen,chen-xiaxin,31.121,59.0,industrial machinery,Diversified,M,China,1473.194,"['industrial machinery', ' Self Made']","industrial machinery, Self Made","Hangzhou, China",China,Married,,,,,True
99,Chen Xuehua,Chen,chen-xuehua,39.306,60.0,nonferrous,Metals & Mining,M,China,2802.562,"['nonferrous', ' Self Made']","nonferrous, Self Made","Tongxiang, China",China,,,,,,True
100,Chen Xueling,Chen,chen-xueling,25.239,54.0,stationery,Manufacturing,F,China,1452.533,"['stationery', ' Self Made']","stationery, Self Made","Shantou, China",China,,,,,,True
101,Chen Zemin & family,Chen,chen-zemin,2.662,78.0,food,Food & Beverage,M,China,1385.646,"['food', ' Self Made']","food, Self Made","Zhengzhou, China",China,Married,,,,,True
102,Chen Zhiping,Chen,chen-zhiping,140.345,45.0,e-cigarettes,Manufacturing,M,China,11656.276,"['e-cigarettes', ' Self Made']","e-cigarettes, Self Made","Shenzhen, China",China,Married,,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University",,,True
103,Cheng Antares,Cheng,cheng-antares,4.915,64.0,liquor,Food & Beverage,M,Hong Kong,1924.228,"['liquor', ' Self Made']","liquor, Self Made","Hong Kong, Hong Kong",Hong Kong,,,,,,True
104,Chengjian Zhou,Zhou,chengjian-zhou,18.328,56.0,fashion retail,Fashion & Retail,M,China,1523.059,"['fashion retail', ' Self Made']","fashion retail, Self Made","Shanghai, China",China,Married,1,"EMBA, Zhejiang University",,,True
105,Chetan Dube,Dube,chetan-dube,0.0,55.0,technology,Technology,M,United States,2400.0,"['technology', ' Self Made']","technology, Self Made","New York, New York",United States,,,"Bachelor of Science, Indian Institute of Technology Delhi",,,True
106,Chey Ki-won,Chey,chey-ki-won,-6.149,57.0,"computer services, telecom",Technology,F,South Korea,1155.225,"['computer services', ' telecom']","computer services, telecom","Seoul, South Korea",South Korea,Divorced,,,,,False
107,Chirayu Amin,Amin,chirayu-amin,-2.461,75.0,pharmaceuticals,Healthcare,M,India,1583.622,['pharmaceuticals'],pharmaceuticals,"Baroda, India",India,Married,3,"Bachelor of Arts/Science, Baroda University; Master of Business Administration, Seton Hall University",,,False
108,Cho Hyun-joon,Cho,cho-hyun-joon,17.555,53.0,diversified,Diversified,M,South Korea,1213.268,['diversified'],diversified,"Seoul, South Korea",South Korea,Married,2,"Master of Science, Keio University; Bachelor of Arts/Science, Yale University",,,False
109,Cho Hyun-sang,Cho,cho-hyun-sang,-4.968,50.0,Industrial Systems,Diversified,M,South Korea,1228.58,['Industrial Systems'],Industrial Systems,"Seoul, South Korea",South Korea,Married,3,"Bachelor of Arts/Science, Brown University",,,False
110,Cho Jung-ho,Cho,cho-jung-ho,-28.734,63.0,finance,Finance & Investments,M,South Korea,2963.647,['finance'],finance,"Seoul, South Korea",South Korea,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",,,False
111,Cho Jyh-jer,Cho,cho-jyh-jer,-28.598,,semiconductors,Technology,M,Taiwan,1580.114,"['semiconductors', ' Self Made']","semiconductors, Self Made",,Taiwan,Married,2,,,,True
112,Chris Britt,Britt,chris-britt,0.0,48.0,fintech,Finance & Investments,M,United States,1300.0,"['fintech', ' Self Made']","fintech, Self Made","San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",,,True
113,Chris Sacca,Sacca,chris-sacca,-2.47,46.0,venture capital investing,Finance & Investments,M,United States,1039.104,"['venture capital investing', ' Self Made']","venture capital investing, Self Made","Truckee, California",United States,Married,2,"Bachelor of Arts/Science, Georgetown University; Doctor of Jurisprudence, Georgetown University",,,True
114,Christian Birkenstock,Birkenstock,christian-birkenstock,0.0,49.0,shoes,Fashion & Retail,M,Germany,1637.579,['shoes'],shoes,"Kitzbuhel, Austria",Germany,,,,,,False
115,Christine Knauf,Knauf,christine-knauf,0.0,,building materials,Manufacturing,F,Germany,1464.789,['building materials'],building materials,,Germany,,,,,,False
116,Chu Jian,Chu,chu-jian-1,27.515,58.0,Manufacturing,Manufacturing,M,China,1257.319,"['Manufacturing', ' Self Made']","Manufacturing, Self Made","Hangzhou, China",China,,,,,,True
117,Chuchat Petaumpai & Daonapa Petampai,Chuchat Petaumpai &,chuchat-petaumpai-daonapa-petampai,10.714,68.0,motorcycle loans,Finance & Investments,,Thailand,2719.237,"['motorcycle loans', ' Self Made']","motorcycle loans, Self Made","Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Oklahoma State University",,,True
118,Chung Mong-joon,Chung,chung-mong-joon,1.787,70.0,"shipbuilding, industrial machines",Manufacturing,M,South Korea,1088.941,"['shipbuilding', ' industrial machines']","shipbuilding, industrial machines","Seoul, South Korea",South Korea,Married,4,"Ph.D, Johns Hopkins University; Master of Business Administration, Massachusetts Institute of Technology; Bachelor of Arts/Science, Seoul National University",,,False
119,Chung Yong-jin,Chung,chung-yong-jin,12.182,53.0,retail,Fashion & Retail,M,South Korea,1645.475,['retail'],retail,"Seoul, South Korea",South Korea,Married,4,"Bachelor of Arts/Science, Brown University",,,False
120,Cliff Obrecht,Obrecht,cliff-obrecht,0.0,35.0,software,Technology,M,Australia,6480.0,"['software', ' Self Made']","software, Self Made","Sydney, Australia",Australia,Married,,"Bachelor of Arts/Science, University of Western Australia",,,True
121,Conni Jonsson,Jonsson,conni-jonsson,27.79,61.0,asset management ,Finance & Investments,M,Sweden,2698.766,"['asset management', ' Self Made']","asset management, Self Made","Stockholm, Sweden",Sweden,Married,,,,,True
122,Dai Lizhong,Dai,dai-lizhong,48.978,53.0,medical testing,Healthcare,M,China,1284.381,"['medical testing', ' Self Made']","medical testing, Self Made","Changsha, China",China,,,"Master of Science, Peking University; Ph.D, Princeton University",,,True
123,Dani Reiss,Reiss,dani-reiss,-22.734,48.0,down jackets,Fashion & Retail,M,Canada,1041.329,['down jackets'],down jackets,"Toronto, Canada",Canada,Married,,"Bachelor of Arts/Science, University of Toronto",,,False
124,Daniel Feffer,Feffer,daniel-feffer,-15.735,62.0,pulp and paper,Manufacturing,M,Brazil,1246.484,['pulp and paper'],pulp and paper,"São Paulo, Brazil",Brazil,Married,,"Law Degree, Universidade Presbiteriana Mackenzie",,,False
125,Daniel Hirschfeld,Hirschfeld,daniel-hirschfeld,10.854,80.0,fashion retail,Fashion & Retail,M,United States,1590.34,['fashion retail'],fashion retail,"Kearney, Nebraska",United States,Married,3,,,,False
126,Daniel Sundheim,Sundheim,daniel-sundheim,0.0,44.0,hedge funds,Finance & Investments,M,United States,2476.5,"['hedge funds', ' Self Made']","hedge funds, Self Made","New York, New York",United States,Married,,,,,True
127,Daniel Yong Zhang,Zhang,daniel-yong-zhang-1,0.0,49.0,e-commerce,Technology,M,China,1003.5,"['e-commerce', ' Self Made']","e-commerce, Self Made","Hangzhou, China",China,,,,,,True
