,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
968,Georg Schaeffler,Schaeffler,georg-schaeffler,-133.865,57.0,auto parts,Automotive,M,Germany,11900.855,['auto parts'],auto parts,"Herzogenaurach, Germany",Germany,Divorced,4,,,,False
969,Andrei Skoch,Skoch & family,andrei-skoch-family,0.0,55.0,steel,Metals & Mining,M,Russia,7935.802,"['steel', ' Self Made']","steel, Self Made","Moscow, Russia",Russia,Single,10,State Central Institute of Physical Culture,,,True
970,Harry Triguboff,Triguboff,harry-triguboff,0.0,88.0,real estate,Real Estate,M,Australia,10566.342,"['real estate', ' Self Made']","real estate, Self Made","Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of Leeds",,,True
971,Marijke Mars,Mars,marijke-mars,0.0,57.0,"candy, pet food",Food & Beverage,F,United States,7898.104,"['candy', ' pet food']","candy, pet food","Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Duke University",2,,False
972,Pamela Mars,Mars,pamela-mars,0.0,61.0,"candy, pet food",Food & Beverage,F,United States,7898.104,"['candy', ' pet food']","candy, pet food","Alexandria, Virginia",United States,Married,3,"Bachelor of Arts/Science, Vassar College",2,,False
973,Valerie Mars,Mars,valerie-mars,0.0,62.0,"candy, pet food",Food & Beverage,F,United States,7898.104,"['candy', ' pet food']","candy, pet food","New York, New York",United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University",2,,False
974,Victoria Mars,Mars,victoria-mars,0.0,64.0,"candy, pet food",Food & Beverage,F,United States,7898.104,"['candy', ' pet food']","candy, pet food","Philadelphia, Pennsylvania",United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",2,,False
975,Stef Wertheimer,Wertheimer,stef-wertheimer,0.0,95.0,metalworking tools,Manufacturing,M,Israel,6155.0,"['metalworking tools', ' Self Made']","metalworking tools, Self Made","tel aviv, Israel",Israel,Married,4,,,,True
976,Cen Junda,Cen,cen-junda,279.289,57.0,pharmaceuticals,Healthcare,M,China,4629.66,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Lianyungang, China",China,,,"Doctorate, Zhejiang University",,,True
977,James Goodnight,Goodnight,james-goodnight,0.0,78.0,software,Technology,M,United States,8962.918,"['software', ' Self Made']","software, Self Made","Cary, North Carolina",United States,Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",8,1,True
978,Kjeld Kirk Kristiansen,Kristiansen,kjeld-kirk-kristiansen,0.0,73.0,Lego,Manufacturing,M,Denmark,8291.564,['Lego'],Lego,"Billund, Denmark",Denmark,Married,3,"Bachelor of Arts/Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development",,,False
979,Sofie Kirk Kristiansen,Kristiansen,sofie-kirk-kristiansen,0.0,45.0,Lego,Manufacturing,F,Denmark,8291.564,['Lego'],Lego,"Billund, Denmark",Denmark,,,,,,False
980,Thomas Kirk Kristiansen,Kristiansen,thomas-kirk-kristiansen,0.0,42.0,Lego,Manufacturing,M,Denmark,8291.564,['Lego'],Lego,"Billund, Denmark",Denmark,,,,,,False
981,Liang Wengen,Liang,liang-wengen,-105.223,64.0,construction equipment,Manufacturing,M,China,9179.881,"['construction equipment', ' Self Made']","construction equipment, Self Made","Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",,,True
982,Xavier Niel,Niel,xavier-niel,-31.414,54.0,"internet, telecom",Telecom,M,France,8566.604,"['internet', ' telecom', ' Self Made']","internet, telecom, Self Made","Paris, France",France,Single,3,,,,True
983,John Overdeck,Overdeck,john-overdeck,0.0,51.0,hedge funds,Finance & Investments,M,United States,6529.002,"['hedge funds', ' Self Made']","hedge funds, Self Made","Millburn, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",8,2,True
984,Azim Premji,Premji,azim-premji,7.157,76.0,software services,Technology,M,India,10828.482,['software services'],software services,"Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Stanford University",,,False
985,Seo Jung-jin,Seo,seo-jung-jin,221.476,64.0,biotech,Healthcare,M,South Korea,9127.559,"['biotech', ' Self Made']","biotech, Self Made","Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University",,,True
986,Dilip Shanghvi,Shanghvi,dilip-shanghvi,25.173,66.0,pharmaceuticals,Healthcare,M,India,13122.824,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",,,True
987,David Siegel,Siegel,david-siegel-1,0.0,60.0,hedge funds,Finance & Investments,M,United States,6529.002,"['hedge funds', ' Self Made']","hedge funds, Self Made","Scarsdale, New York",United States,Married,,"Ph.D, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University",8,1,True
988,Agnete Kirk Thinggaard,Thinggaard,agnete-kirk-thinggaard,0.0,38.0,Lego,Manufacturing,F,Denmark,8291.564,['Lego'],Lego,"Billund, Denmark",Denmark,,,,,,False
989,Fan Hongwei,Fan,fan-hongwei,283.238,54.0,petrochemicals,Energy,F,China,18302.731,"['petrochemicals', ' Self Made']","petrochemicals, Self Made","Wujiang, China",China,Married,,,,,True
990,Yu Renrong,Yu,yu-renrong,-319.864,55.0,semiconductors,Manufacturing,M,China,13618.645,"['semiconductors', ' Self Made']","semiconductors, Self Made","Ningbo, China",China,,,"Bachelor of Science in Engineering, Tsinghua University",,,True
991,Benu Gopal Bangur,Bangur,benu-gopal-bangur,79.145,90.0,cement,Manufacturing,M,India,7976.23,['cement'],cement,"Kolkata, India",India,Widowed,2,"Bachelor of Arts/Science, Calcutta University",,,False
992,James Dyson,Dyson,james-dyson,0.0,74.0,vacuums,Manufacturing,M,United Kingdom,9311.71,"['vacuums', ' Self Made']","vacuums, Self Made","Gloucestershire, United Kingdom",United Kingdom,Married,3,,,,True
993,"Herbert Kohler, Jr.",Kohler,herbert-kohler-jr,0.0,82.0,plumbing fixtures,Manufacturing,M,United States,8844.6,['plumbing fixtures'],plumbing fixtures,"Kohler, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Yale University",4,2,False
994,Leng Youbin,Leng,leng-youbin,135.503,52.0,infant formula,Food & Beverage,M,China,6062.436,"['infant formula', ' Self Made']","infant formula, Self Made","Beijing, China",China,,,"Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University",,,True
995,Liu Yongxing,Liu,liu-yongxing,0.0,73.0,diversified,Service,M,China,13158.309,"['diversified', ' Self Made']","diversified, Self Made","Shanghai, China",China,Married,1,,,,True
