,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
2271,Fu Kwan,Fu,fu-kwan,fu-kwan,,64.0,"real estate, diversified",Diversified,M,China,1586220774705,,,,,,https://specials-images.forbesimg.com/imageserve/5c6eede131358e35dd26c2f4/416x416.jpg?background=000000&cropX1=488&cropX2=1583&cropY1=489&cropY2=1584,1548.0,1513.0,1400.0,,,,
2272,Dennis Gillings,Gillings,dennis-gillings,no-pic,-16.529,77.0,drug testing,Healthcare,M,United Kingdom,1639104902515,NC,North Carolina,2424.974,1394.0,1394.0,,1549.0,1513.0,1400.0,,,,
2273,Serge Godin,Godin,serge-godin,serge-godin,-36.715,72.0,information technology,Technology,M,Canada,1639104902515,,,2408.519,1400.0,1400.0,//specials-images.forbesimg.com/imageserve/5e7449c710380d0006bdad6d/416x416.jpg?background=000000&cropX1=1360&cropX2=5075&cropY1=0&cropY2=3712,1550.0,1513.0,1400.0,"Chairman and CEO, CGI Group",False,,
2274,Sanjiv Goenka,Goenka,sanjiv-goenka,sanjiv-goenka,23.133,60.0,diversified,Diversified,M,India,1639104902515,,,2686.366,1261.0,1261.0,//specials-images.forbesimg.com/imageserve/5d9f6b4867dd830006a32602/416x416.jpg?background=000000&cropX1=202&cropX2=1568&cropY1=3&cropY2=1368,1551.0,1513.0,1400.0,,,,
2275,Sue Gross,Gross,sue-gross,no-pic-female,0.0,71.0,investments,Finance & Investments,F,United States,1639104902515,CA,California,1461.35,2113.0,2113.0,//specials-images.forbesimg.com/imageserve/5bb38c964bbe6f67d2e84e56/416x416.jpg?background=000000&cropX1=0&cropX2=2751&cropY1=212&cropY2=2965,1552.0,1513.0,1400.0,,,,
2276,Maggie Hardy Knox,Hardy Knox,maggie-hardy-knox,no-pic-female,0.0,56.0,building materials,Service,F,United States,1639104902515,PA,Pennsylvania,1403.2,2171.0,2171.0,//specials-images.forbesimg.com/imageserve/5e5023386751660007c7e61c/416x416.jpg?background=000000&cropX1=518&cropX2=3717&cropY1=25&cropY2=3226,1553.0,1513.0,1400.0,,,,
2277,David Hindawi,Hindawi,david-hindawi,no-pic,0.0,77.0,software,Technology,M,United States,1639104902515,CA,California,1828.0,1755.0,1755.0,,1554.0,1513.0,1400.0,"Executive Chairman, Tanium",False,,
2278,Hu Kaijun,Hu,hu-kaijun,no-pic,111.999,59.0,pharmaceuticals,Healthcare,M,China,1639104902515,,,3709.05,880.0,880.0,,1555.0,1513.0,1400.0,,,,
2279,W. Herbert Hunt,Hunt,w-herbert-hunt,w-herbert-hunt,0.0,92.0,oil,Energy,M,United States,1639104902515,TX,Texas,3423.338,968.0,968.0,//specials-images.forbesimg.com/imageserve/8fb2161d3cd11b07d39227faf600d16f/416x416.jpg?background=000000&cropX1=200&cropX2=638&cropY1=11&cropY2=449,1556.0,1513.0,1400.0,,,,
2280,Hal Jackman,Jackman,hal-jackman,hal-jackman,25.182,89.0,"insurance, investments",Finance & Investments,M,Canada,1639104902515,,,2828.893,1166.0,1166.0,//specials-images.forbesimg.com/imageserve/56c65371e4b062f6b59a0fb1/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=3&cropY2=746,1557.0,1513.0,1400.0,,,,
2281,Hamilton James,James,hamilton-james,hamilton-james,-23.043,70.0,investments,Finance & Investments,M,United States,1639104902515,NY,New York,3225.745,1024.0,1024.0,https://specials-images.forbesimg.com/imageserve/614b5aeff199e384eaf46262/416x416.jpg?background=000000&cropX1=640&cropX2=3052&cropY1=0&cropY2=2410,1558.0,1513.0,1400.0,,,,
2282,George Joseph,Joseph,george-joseph,george-joseph,3.922,100.0,insurance,Finance & Investments,M,United States,1639104902515,CA,California,1748.802,1836.0,1836.0,//specials-images.forbesimg.com/imageserve/f8b168c4a7bfccd92602385364f691b7/416x416.jpg?background=000000&cropX1=106&cropX2=641&cropY1=68&cropY2=603,1559.0,1513.0,1400.0,,,,
2283,Scott Kapnick,Kapnick,scott-kapnick,no-pic,0.0,62.0,private equity,Finance & Investments,M,United States,1639104902515,FL,Florida,1400.0,2175.0,2176.0,//specials-images.forbesimg.com/imageserve/5e14f22a888ec00006906b07/416x416.jpg?background=000000&cropX1=119&cropX2=1141&cropY1=239&cropY2=1263,1560.0,1513.0,1400.0,,,,
2284,Osman Kibar,Kibar,osman-kibar,osman-kibar,0.0,50.0,biotech,Healthcare,M,United States,1639104902515,CA,California,2306.331,1449.0,1449.0,http://specials-images.forbesimg.com/imageserve/5706d043e4b018cf494e5f3e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=74&cropY2=816,1561.0,1513.0,1400.0,"Founder, CEO, Samumed",False,,
2285,Suna Kirac,Kirac,suna-kirac,suna-kirac,,80.0,diversified,Diversified,F,Turkey,1600182237695,,,,,,//specials-images.forbesimg.com/imageserve/fe7bd4a88f7182c8343ea40c37bb3711/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823,1562.0,1513.0,1400.0,,,,
2286,Leo Koguan,Koguan,leo-koguan,no-pic,-528.969,66.0,IT provider,Technology,M,United States,1639104902515,TX,Texas,7713.46,356.0,356.0,//specials-images.forbesimg.com/imageserve/5c744dfaa7ea4310004384e5/416x416.jpg?background=000000&cropX1=1007&cropX2=1641&cropY1=189&cropY2=823,1563.0,1513.0,1400.0,,,,
2287,Pyotr Kondrashev,Kondrashev,pyotr-kondrashev,pyotr-kondrashev,-1.332,72.0,investments,Manufacturing,M,Russia,1639104902515,,,1513.37,2051.0,2051.0,//specials-images.forbesimg.com/imageserve/58a26ad4a7ea431f3219745b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792,1564.0,1513.0,1400.0,,,,
2288,Philippe Laffont,Laffont,philippe-laffont,no-pic,0.0,54.0,hedge fund,Finance & Investments,M,United States,1639104902515,NY,New York,6500.0,450.0,450.0,//specials-images.forbesimg.com/imageserve/5ac9597e31358e4112b7204d/416x416.jpg?background=000000&cropX1=369&cropX2=2949&cropY1=200&cropY2=2780,1565.0,1513.0,1400.0,"Founder, Coatue Management",False,,
